ExperimentSet,delta
1,-2
1,0
1,2
2,-2
2,0
2,2
3,-2
3,0
3,2
4,-2
4,0
4,2
5,-2
5,0
5,2
6,-2
6,0
6,2
7,-2
7,0
7,2
8,-2
8,0
8,2
9,-2
9,0
9,2
10,-2
10,0
10,2
11,-2
11,0
11,2
12,-2
12,0
12,2
13,-2
13,0
13,2
14,-2
14,0
14,2
15,-2
15,0
15,2
16,-2
16,0
16,2
17,-2
17,0
17,2
18,-2
18,0
18,2
19,-4
19,-3
19,-2
19,-1
19,0
19,1
19,2
19,3
19,4
20,-4
20,-3
20,-2
20,-1
20,0
20,1
20,2
20,3
20,4
21,-5
21,-4
21,-3
21,-2
21,-1
21,0
21,1
21,2
21,3
21,4
21,5
22,-4
22,-3
22,-2
22,-1
22,0
22,1
22,2
22,3
22,4
23,-4
23,-3
23,-2
23,-1
23,0
23,1
23,2
23,3
23,4
23,5
24,-4
24,-3
24,-2
24,-1
24,0
24,1
24,2
24,3
24,4
25,-5
25,-4
25,-3
25,-2
25,-1
25,0
25,1
25,2
25,3
25,4
25,5
26,-4
26,-3
26,-2
26,-1
26,0
26,1
26,2
26,3
26,4
27,-5
27,-4
27,-3
27,-2
27,-1
27,0
27,1
27,2
27,3
27,4
27,5
28,-4
28,-3
28,-2
28,-1
28,0
28,1
28,2
28,3
28,4
28,5
29,-5
29,-4
29,-3
29,-2
29,-1
29,0
29,1
29,2
29,3
29,4
30,-5
30,-4
30,-3
30,-2
30,-1
30,0
30,1
30,2
30,3
30,4
31,-5
31,-4
31,-3
31,-2
31,-1
31,0
31,1
31,2
31,3
31,4
31,5
32,-5
32,-4
32,-3
32,-2
32,-1
32,0
32,1
32,2
32,3
32,4
32,5
33,-5
33,-4
33,-3
33,-2
33,-1
33,0
33,1
33,2
33,3
33,4
33,5
34,-5
34,-4
34,-3
34,-2
34,-1
34,0
34,1
34,2
34,3
34,4
34,5
35,-4
35,-3
35,-2
35,-1
35,0
35,1
35,2
35,3
35,4
35,5
36,-5
36,-4
36,-3
36,-2
36,-1
36,0
36,1
36,2
36,3
36,4
37,-6
37,-4
37,-2
37,0
37,2
37,4
37,6
38,-6
38,-4
38,-2
38,0
38,2
38,4
38,6
39,-6
39,-4
39,-2
39,0
39,2
39,4
39,6
40,-6
40,-4
40,-2
40,0
40,2
40,4
40,6
41,-6
41,-4
41,-2
41,0
41,2
41,4
41,6
42,-6
42,-4
42,-2
42,0
42,2
42,4
42,6
43,-6
43,-4
43,-2
43,0
43,2
43,4
44,-6
44,-4
44,-2
44,0
44,2
44,4
44,6
45,-6
45,-4
45,-2
45,0
45,2
45,4
45,6
46,-6
46,-4
46,-2
46,0
46,2
46,4
46,6
47,-6
47,-4
47,-2
47,0
47,2
47,4
47,6
48,-6
48,-4
48,-2
48,0
48,2
48,4
48,6
49,-6
49,-4
49,-2
49,0
49,2
49,4
49,6
50,-6
50,-4
50,-2
50,0
50,2
50,4
50,6
51,-6
51,-4
51,-2
51,0
51,2
51,4
51,6
52,-6
52,-4
52,-2
52,0
52,2
52,4
52,6
53,-6
53,-4
53,-2
53,0
53,2
53,4
53,6
54,-6
54,-4
54,-2
54,0
54,2
54,4
54,6
55,-7
55,-6
55,-5
55,-4
55,-3
55,-2
55,-1
55,0
55,1
55,2
55,3
55,4
55,5
55,6
56,-7
56,-6
56,-5
56,-4
56,-3
56,-2
56,-1
56,0
56,1
56,2
56,3
56,4
56,5
56,6
56,7
57,-7
57,-6
57,-5
57,-4
57,-3
57,-2
57,-1
57,0
57,1
57,2
57,3
57,4
57,5
57,6
57,7
58,-6
58,-5
58,-4
58,-3
58,-2
58,-1
58,0
58,1
58,2
58,3
58,4
58,5
58,6
58,7
58,8
59,-8
59,-6
59,-5
59,-4
59,-3
59,-2
59,-1
59,0
59,1
59,2
59,3
59,4
59,5
59,6
59,7
60,-7
60,-6
60,-5
60,-4
60,-3
60,-2
60,-1
60,0
60,1
60,2
60,3
60,4
60,5
60,6
61,-7
61,-6
61,-5
61,-4
61,-3
61,-2
61,-1
61,0
61,1
61,2
61,3
61,4
61,5
61,6
