delta,ExperimentSet
-36,1
8,2
-21,3
42,4
12,5
60,6
-17,7
12,8
-45,9
12,10
49,11
-37,12
82,13
32,14
64,15
52,16
1,17
-42,18
21,19
4,20
-43,21
-105,22
37,23
59,24
50,25
-35,26
-42,27
17,28
-6,29
-28,30
-51,31
-59,32
-24,33
-34,34
-31,35
72,36
-9,37
-45,38
5,39
14,40
79,41
15,42
27,43
69,44
-11,45
46,46
9,47
30,48
2,49
11,50
49,51
-15,52
67,53
9,54
75,55
-67,56
-32,57
19,58
88,59
31,60
-41,61
-85,62
-24,63
3,64
37,65
-41,66
85,67
-40,68
54,69
5,70
-50,71
-6,72
-2,73
-76,74
-33,75
92,76
-23,77
-15,78
12,79
51,80
-50,81
-49,82
-35,83
-28,84
47,85
50,86
-10,87
-8,88
-45,89
-6,90
-46,91
226,92
-27,93
-7,94
22,95
-45,96
30,97
-94,98
110,99
-22,100
-21,101
-4,102
-63,103
69,104
-46,105
-73,106
-121,107
-89,108
31,109
108,110
25,111
28,112
63,113
-13,114
-2,115
14,116
-24,117
58,118
-17,119
-52,120
-49,121
37,122
87,123
38,124
132,125
22,126
-32,127
-105,128
-17,129
-21,130
-8,131
22,132
-6,133
26,134
-5,135
-42,136
-31,137
43,138
26,139
-42,140
-143,141
-51,142
6,143
177,144
-7,145
-14,146
56,147
4,148
-26,149
-11,150
71,151
-19,152
-88,153
31,154
-81,155
-164,156
8,157
-59,158
18,159
45,160
-40,161
19,162
-40,163
103,164
-101,165
-46,166
-102,167
-27,168
-10,169
-29,170
26,171
-24,172
-55,173
-20,174
-20,175
29,176
25,177
32,178
67,179
153,180
